"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"11",27,10,39,87,3,10,120,15,14,5,145,9,16,10,1,7,0,0,8,5,12,29,0,96,12,74,0,70,1,20,14,12,4,1,3,46,0,0,18,11,0,12,0,2,0,0,1,47,0,100,7,50,18,0,16,5,26,23,19,1,1,0,4,9,13,19,44,5,9,1,1,5,0,7,10,9,5,2,37,2,2,2,0,5,1,46,67,109,307,10,23,21,21,0,1,0,0,4,1,4
"12",30,345,59,120,20,293,26,2,74,367,14,200,244,170,8,142,0,3,104,5,213,0,0,1,1,21,2,218,268,115,1,124,98,31,444,71,0,46,349,169,41,357,23,53,155,16,4,3,222,3,34,160,149,0,163,101,25,0,11,132,106,0,38,64,149,136,149,13,161,38,0,142,2,83,113,2,115,3,3,21,46,132,0,4,32,5,19,13,56,1,5,28,83,0,57,2,9,32,59,74
"13",149,120,200,127,4,245,205,3,234,83,31,180,544,185,54,258,0,8,109,0,296,71,0,10,1,14,0,285,138,140,0,105,23,16,94,227,0,12,439,552,28,376,20,175,41,1,1,4,32,8,232,36,191,1,800,191,95,2,54,20,40,0,164,211,106,136,130,58,262,10,0,221,0,158,181,0,87,6,2,62,51,100,0,22,42,20,63,17,245,5,42,224,132,0,2,2,71,70,97,165
"14",243,98,208,304,3,176,49,5,234,71,13,110,199,339,23,159,0,4,93,5,350,2,0,3,2,36,0,231,114,39,2,96,19,161,63,222,0,13,245,211,39,257,6,67,31,2,0,1,28,4,254,62,53,0,444,97,59,3,31,33,13,0,106,222,133,150,144,29,99,11,0,100,1,144,131,2,88,5,4,62,102,114,0,18,32,21,34,12,170,2,13,130,202,0,2,2,38,153,45,75
"15",3,30,19,25,1,28,7,0,18,73,4,42,40,20,17,23,0,0,21,2,43,0,0,0,0,0,0,56,33,1,0,53,17,5,84,36,5,13,22,17,5,57,3,7,28,5,0,1,18,0,5,9,9,0,20,33,5,0,4,37,14,0,3,10,9,12,7,0,48,0,0,5,1,10,11,0,7,0,0,1,9,7,0,1,5,0,10,0,8,0,0,3,8,0,1,0,1,4,6,14
"16",55,35,194,196,2,63,54,3,95,60,8,119,243,228,10,129,1,0,174,1,93,1,0,2,0,14,0,129,65,25,0,119,9,22,44,99,0,9,147,273,8,174,5,32,27,2,0,1,17,14,71,48,118,1,358,36,35,4,32,11,20,0,234,289,55,71,91,12,263,2,0,132,0,161,36,1,69,1,2,23,27,100,0,12,13,1,23,10,63,1,5,37,65,0,18,0,8,23,37,219
"17",6,0,3,0,0,1,39,9,5,0,0,1,0,0,0,0,371,0,0,0,0,0,0,2,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,4,0,1,0,0,1,2,1,5,0,5,0,0,0,0,0,10,3,16,30,0,0,35,2,0,0,4,0,0,3,1,9,0,0,0,9,2,0,0,1,2,1,5,0,0,0,0,230,3,1,2,9
"18",8,2,2,1,395,5,0,1,11,33,2,3,11,6,0,2,0,93,4,141,7,0,0,1,0,6,0,4,1,3,0,10,1,1,22,6,0,1,19,111,17,5,0,7,2,0,0,0,0,0,4,4,1,0,10,0,0,0,5,3,4,0,1,0,1,4,11,0,4,1,0,4,26,1,0,40,1,0,0,0,23,17,0,2,0,21,4,6,225,1,5,9,11,0,7,0,0,0,1,10
"19",85,47,103,89,0,88,111,3,169,82,63,68,149,88,32,99,0,2,220,2,110,4,0,16,1,20,3,339,54,67,2,305,18,6,39,198,0,6,154,162,26,218,8,164,15,6,1,6,11,16,67,89,58,2,317,41,55,4,44,8,36,0,75,55,116,167,298,28,193,10,0,145,2,46,97,3,33,8,5,59,90,114,0,17,49,30,97,92,221,14,26,92,83,0,1,0,64,36,120,118
"20",15,0,5,0,51,5,15,0,0,2,1,5,0,5,0,2,0,151,1,74,0,0,0,1,1,11,0,0,0,0,0,4,1,4,15,1,0,1,4,5,1,1,0,1,1,0,0,0,2,0,0,3,1,0,4,0,0,0,0,1,2,0,5,1,2,1,0,3,1,0,0,1,378,4,1,24,0,0,0,1,2,0,0,0,0,36,131,31,52,3,5,0,9,0,6,0,0,0,1,0
